Kosakata,Makna,Mnemonik,Contoh_kalimat
beset,"To surround, as in an attack",Be set: Pasukan sudah diatur (set) untuk mengepung.,The expedition was beset by bad weather and illness.
blatant,"Very obvious, offensively loud",Blow tent: Angin meniup tenda dengan sangat jelas dan mencolok.,Taking credit for her colleague's work was a blatant lie.
bolster,To support; to reinforce,Bantal guling: Bolster dalam bahasa Inggris adalah bantal guling yang menopang kita.,She gathered more evidence to bolster her argument.
bombastic,Using inflated language; pompous,Bomb: Kata-katanya meledak-ledak seperti bom (muluk-muluk).,The politician's bombastic speech lacked real substance.
boon,A timely benefit; a blessing,Bonus: Mendapat berkah/keuntungan seperti bonus.,The rain was a great boon for the drought-stricken farmers.
brevity,Briefness or conciseness,Brief: Sesuatu yang sangat singkat.,The brevity of the meeting was appreciated by everyone.
browbeat,To intimidate in an overbearing manner,Brow (alis) + beat: Mengerutkan alis untuk mengintimidasi/menggertak.,The lawyer tried to browbeat the witness into changing her story.
bumptious,Offensively self-assertive; pushy,Bump: Suka menabrak (bump) orang lain karena terlalu sombong/memaksa.,The bumptious newcomer annoyed everyone with his endless bragging.
bungle,To perform clumsily or inadequately; botch,Bunglon: Bunglon yang salah warna berarti melakukan kesalahan bodoh/ceroboh.,The inexperienced robbers completely bungled the heist.
burgeon,To grow forth; to send out buds,Burger: Makan burger terus membuat perut berkembang/membesar.,The tech industry in the city began to burgeon in the late 90s.
cacophony,"A disagreeable, harsh, or discordant sound",Kakatua + phone: Suara burung kakatua di telepon sangat bising/sumbang.,The busy intersection produced a cacophony of honking horns.
callous,Insensitive; indifferent,Kapalan: Kulit yang kapalan (callus) menjadi mati rasa/tidak sensitif.,His callous remark about her failure made her cry.
calumniate,To make false and malicious statements about,Kolom niat: Menulis di kolom koran dengan niat memfitnah.,The political campaign was designed to calumniate the rival candidate.
candor,The quality of being open and sincere,Kendor: Urat tegangnya kendor karena dia berbicara dengan jujur/terbuka.,I appreciate your candor in delivering the bad news.
cantankerous,Bad-tempered and uncooperative,"Tank: Orang ini mudah meledak seperti tank, sangat suka marah.",The cantankerous old man yelled at the kids playing near his lawn.
carp,To complain unreasonably,Ikan karper: Ikan yang mulutnya selalu terbuka seolah mengeluh terus.,He is hard to please and will carp about the smallest flaws.
chaos,A state of disorder and confusion,Kekacauan: (Kata serapan) Keadaan yang sangat kacau balau.,The store was in complete chaos during the Black Friday sale.
chicanery,"Trickery, deception",Chicken: Pengecut yang menggunakan kelicikan/tipuan untuk menang.,The corrupt salesman used chicanery to sell broken cars.
churl,"A rude, boorish, or surly person",Curl: Orang berambut keriting yang kasar/tidak sopan (hanya asosiasi visual).,Don't be such a churl; say thank you when someone helps you.
coda,Concluding section of a musical/literary piece,Code: Menulis kode terakhir sebagai penutup program.,The movie's coda showed what happened to the characters ten years later.
codify,To assemble related laws or principles,Kode: Mengumpulkan aturan menjadi sebuah sistem kode.,The organization decided to codify its unwritten rules into a handbook.
cognizant,Aware; taking notice,Recognize: Seseorang yang bisa mengenali berarti dia sadar/paham.,We must be cognizant of the environmental impact of our actions.
cohort,A companion or associate,Co-host: Teman atau rekan kerja dalam satu grup.,The suspect and his cohorts were arrested by the police.
colloquial,Pertaining to common speech,Call lokal: Bahasa yang dipakai saat menelpon orang lokal (bahasa sehari-hari).,The essay was rejected because it used too much colloquial language.
commensurate,"Corresponding in amount, quality, or degree","Common measure: Ukuran yang sama, berarti sebanding/setimpal.",Your salary will be commensurate with your experience.
complacency,A feeling of quiet security; satisfaction,Complete: Merasa sudah lengkap sehingga menjadi terlalu puas diri.,The team's complacency after their first win cost them the championship.
conciliatory,A state of seeking to reconcile or make peace,Konsiliasi: Usaha untuk melakukan perdamaian.,He sent a box of chocolates as a conciliatory gesture after their fight.
concrete,"Actual, irrefutable","Konkret: Nyata, seperti beton (fakta keras).",We need concrete evidence before making an accusation.
confidante,One to whom secrets are confided,Confident: Orang yang membuat kita percaya diri untuk membagikan rahasia.,She told her deepest secrets to her trusted confidante.
congruous,Appropriate or fitting,"Kongruen: Dalam matematika, kongruen berarti sama dan sebangun/sesuai.",His stylish outfit was congruous with the elegant setting of the party.
consternation,Unsettling dismay or amazement,Monster nation: Negara diserang monster menimbulkan kepanikan luar biasa.,"To my consternation, I realized I had lost my passport at the airport."
consummate,To bring to completion,Consume mate: Menyelesaikan makanan teman sampai tuntas/sempurna.,He is a consummate professional who always delivers flawless work.
contentious,Quarrelsome,Contender: Penantang yang selalu suka berkelahi/berdebat.,Politics is a highly contentious topic at family dinners.
contrite,"Penitent, apologetic","Count right: Menghitung yang benar setelah sadar berbuat salah, merasa menyesal.",The contrite child apologized for breaking the vase.
contumacious,Rebellious,Continue macet: Terus membuat macet karena keras kepala/memberontak aturan.,The contumacious prisoner refused to follow the guard's orders.
cordial,Polite in a pleasant way,Sirup kordial: Rasanya manis dan ramah di tenggorokan.,"Despite their divorce, they maintain a cordial relationship."
corroborate,To make more certain; confirm,Co-robot: Robot lain datang untuk mengonfirmasi/mendukung temuan.,The security camera footage will corroborate my story.
countenance,"Appearance, especially the look of the face",Count ten: Hitung sampai sepuluh untuk menjaga ekspresi wajah agar tidak marah.,His calm countenance reassured the frightened passengers.
counter,To go against or attempt to undermine,Counter-attack: Serangan balik untuk melawan.,She proposed a new strategy to counter the competitor's move.
counterpart,A person or thing resembling another,Bagian lain: Pasangan atau rekan sejawat.,The CEO met with his European counterpart to discuss the merger.
craven,Cowardly,Cave in: Menyerah dan masuk gua karena pengecut.,Running away and leaving his friends behind was a craven act.
credulity,Willingness to behave or trust too readily,"Kredit: Memberi kredit (kepercayaan) terlalu mudah, sangat gampang ditipu.",The scammer preyed on the credulity of elderly victims.
cronyism,The practice of favoring one’s friends,Kronisme: Mengistimewakan kelompok/kroni (nepotisme teman).,The mayor was accused of cronyism for giving jobs to his unqualified friends.
curmudgeon,An ill-tempered person,Kurma john: Si John marah-marah terus karena kurmanya dicuri (pemarah).,The neighborhood curmudgeon hates when kids step on his grass.
cursory,"Hasty, superficial",Kursor: Menggerakkan kursor komputer dengan cepat dan sekilas saja.,She gave the document only a cursory glance before signing it.
dearth,An inadequate supply; scarcity; lack,Death earth: Bumi mati karena kekurangan air.,There is a dearth of affordable housing in the city.
debacle,A complete collapse or failure,"Di-bakar: Rencananya hangus dibakar, sebuah kegagalan total.",The poorly planned event turned into a complete debacle.
decorum,Orderliness and good taste in manners,Dekor: Mendekorasi ruangan agar terlihat sopan dan pantas.,He maintained perfect decorum during the solemn ceremony.
deferent,In a state of giving in out of respect,Defer: Menunda keputusan sendiri demi menghormati orang lain.,The young soldier was highly deferent to his commanding officer.
deleterious,"Hurtful, morally or physically",Delete: Virus yang menghapus data sangat merugikan/berbahaya.,Smoking has a highly deleterious effect on lung health.
delineate,To represent by sketch or precisely in words,Line (garis): Menggambar garis untuk menjelaskan secara rinci.,The map clearly delineates the border between the two countries.
depravity,The state of being morally bad or evil,Deprive: Dicabut moralnya sehingga menjadi jahat/korup.,The serial killer's depravity shocked the entire nation.
deride,To ridicule; to make fun of,Di-ride: Dinaiki/dijadikan kuda-kudaan sebagai bentuk ejekan.,The critics derided the film for its terrible acting.
derision,Ridicule,Deride (noun): Tindakan pengejekan.,His ridiculous proposal was met with derision from the board.
derivative,Something obtained/developed from a source,Derivatif: Kata turunan; sesuatu yang meniru/berasal dari sumber lain.,The artist's new album is highly derivative of 80s pop music.
desultory,Aimless; haphazard,"De-story: Cerita yang melompat-lompat, tidak terarah.","He made a desultory effort to clean his room, merely moving a few shirts."
diatribe,Bitter or malicious criticism,Die tribe: Mengancam sebuah suku mati lewat kritikan/kecaman tajam.,The coach launched into a bitter diatribe after the team's embarrassing loss.
didactic,For the purpose of teaching,Dikte: Mendikte seseorang karena niatnya menggurui/mengajar.,"The children's book has a didactic tone, teaching kids about morality."
diffidence,Lacking confidence,"Di + confidence: Dikurangi kepercayaannya, merasa ragu/malu-malu.",Her diffidence prevented her from speaking up in meetings.
dilatory,Causing delay,Delay story: Membuat cerita panjang lebar hanya untuk menunda-nunda.,The contractor's dilatory tactics delayed the project by months.
disconcert,To disturb the composure of,Dis-concert: Konser yang batal membuat penonton bingung/kacau.,The unexpected hard question disconcerted the confident interviewee.
discretion,Using one’s own judgment; being discreet,Diskresi: Kebebasan untuk menilai dan bertindak hati-hati.,Viewers are advised to use discretion due to the film's violence.
disingenuous,"Insincere, phony",Dis (tidak) + genuine (asli): Tidak asli alias tidak tulus/munafik.,His apology felt disingenuous since he kept repeating the same mistake.
disquiet,"Lack of calm, peace, or ease",Dis (tidak) + quiet (tenang): Perasaan gelisah/tidak tenang.,The sudden loud noise caused great disquiet among the crowd.
dissemble,To disguise or pretend,Dis-assemble: Membongkar wajah asli untuk berpura-pura.,She tried to dissemble her disappointment with a fake smile.
dissolution,Breaking up of a union of persons,"Dissolve: Gula larut/hancur di air, artinya pembubaran.",The dissolution of their business partnership was finalized in court.
dissonant,"Out of harmony, incongruous",Dis (tidak) + sonata (lagu): Musik yang sumbang/tidak harmonis.,The band played a dissonant chord that made the audience cringe.
divergent,Deviating from a certain course,Divergen: Bergerak ke arah yang berbeda (menyimpang).,The two scientists had divergent theories about the origin of the universe.
divest,To strip; to deprive,"Di-vest: Melepaskan rompi (vest), artinya mencabut hak/harta.",The company decided to divest its underperforming assets.
divulge,To tell or make known secret,Di-vulgar: Membuat rahasia menjadi vulgar/umum (membocorkan).,The journalist refused to divulge the name of her secret source.
doctrinaire,Fanatical about enforcing a certain principle,Doktrin: Orang yang memaksakan doktrin/teori tanpa melihat realita.,"The doctrinaire manager refused to change the rules, even when they failed."
dogmatic,Forceful and unwavering,Dogma: Percaya buta pada dogma secara kaku dan mutlak.,She is so dogmatic that she refuses to listen to any other opinions.
doldrums,A state of inactivity or low spirits,"Dull drums: Bermain drum dengan bosan, sedang dalam kelesuan/kesedihan.",The economy is stuck in the doldrums with no growth in sight.
dubious,Doubtful,Doubt: Sangat meragukan.,I am very dubious about his promise to pay me back tomorrow.
dupe,Someone who’s easily fooled; to fool someone,Duplikat: Diberi barang duplikat sehingga dia tertipu.,The salesman duped the elderly couple into buying a useless product.
duplicity,Deceitfulness,"Duplicate face: Orang bermuka dua, penuh kelicikan/penipuan.",Her duplicity was exposed when her emails to the rival company were found.
ebullient,Showing great enthusiasm or exhilaration,Red Bull: Minum Red Bull membuatnya sangat antusias/bersemangat.,The ebullient fans cheered loudly when their team scored the winning goal.
eclectic,Drawn from multiple sources or styles,Koleksi: Mengoleksi dari berbagai macam sumber/gaya.,"His music taste is eclectic, ranging from jazz to heavy metal."
efficacious,Capable of producing the intended result,Efektif: Sesuatu yang manjur/mujarab.,The new vaccine is highly efficacious in preventing the disease.
efficacy,Power to produce an intended effect,Efektivitas: Kemanjuran.,The researchers are conducting trials to test the efficacy of the new drug.
effrontery,Shameless boldness; impudence,In front: Melakukan hal memalukan di depan (in front) umum karena bermuka badak.,He had the effrontery to ask for a raise after arriving late every day.
egregious,Seriously bad or wrong,Egg regions: Melempar telur ke satu daerah karena kesalahan yang sangat parah.,The article was pulled because of an egregious error in the first paragraph.
egress,Exit,Ex + progress: Bergerak keluar (pintu keluar).,"The emergency egress was blocked by boxes, violating fire codes."
elegy,A poem lamenting the dead,"Allergy: Alergi parah sampai meninggal, lalu dibuatkan puisi kematian/ratapan.",The poet wrote a beautiful elegy for his late mother.
elicit,To extract (information/reaction),Explicit: Memancing agar informasi keluar secara eksplisit (memancing respons).,The detective tried to elicit a confession from the suspect.
elitism,Pride in belonging to a select group,Elit: Merasa dari golongan elit.,The private club was criticized for its rampant elitism.
embellish,To beautify or enhance,Bell: Menempelkan lonceng agar terlihat lebih indah/berhias.,He likes to embellish his fishing stories to make them sound more exciting.
empirical,Proven by observed occurrence or existence,Empire: Kerajaan dibangun berdasarkan bukti nyata (empiris/terbukti).,"We need empirical evidence, not just theories, to prove this claim."
emulate,Imitate,"Emulator: Software peniru, artinya meniru untuk menyamai.",The young writer tried to emulate the style of Hemingway.
endemic,Characteristic of a specific place or culture,Endemi: Penyakit/hal yang khas di daerah tertentu.,Malaria is endemic in certain tropical regions.
enervate,To weaken,"Energy vaporate: Energinya menguap, sehingga dia melemah.","The hot sun enervated the hikers, forcing them to rest frequently."
engender,To produce or to make something come into existence,"Gender: Melahirkan gender baru, artinya menimbulkan/menghasilkan.",The leader's inspiring speech engendered a sense of hope in the crowd.
enigmatic,"Mysterious, perplexing","Enigma: Mesin sandi perang dunia, sangat penuh misteri.",Mona Lisa's enigmatic smile has fascinated art lovers for centuries.
ennui,Boredom,Annoy: Sangat mengganggu (annoying) sampai menimbulkan kebosanan luar biasa (kebosanan akut).,"The wealthy heir suffered from ennui, finding no joy in his endless free time."
ephemeral,Short-lived; fleeting,Fame: Kepopuleran (fame) itu hanya sesaat/tidak abadi.,"The beauty of a rainbow is ephemeral, lasting only a few minutes."
equable,Free from many changes or variations,"Equal: Selalu sama/setara, karakternya tenang dan stabil.","Despite the crisis, she maintained an equable temper."
equanimity,Evenness of mind or temper,"Equal mind: Pikiran yang seimbang, penuh ketenangan batin.",He handled the stressful situation with impressive equanimity.
equivocal,Ambiguous,Equal vocal: Dua suara (vocal) berbicara bersamaan jadi terdengar ambigu/bermakna ganda.,The politician gave an equivocal answer to avoid taking a clear stance.
equivocate,To use ambiguous expressions to mislead,Vocal: Berbicara secara ambigu/berkelit.,"When asked about his taxes, the businessman began to equivocate."
eradicate,To destroy completely,Erase: Menghapus sampai bersih (membasmi tuntas).,The organization's goal is to completely eradicate polio.
erudite,Very well-educated,Educated: Terdengar seperti orang yang sangat terpelajar/berilmu.,The erudite professor could speak passionately on almost any historical subject.
eschew,"To keep clear of, avoid","Ah-choo!: Mendengar orang bersin, kita langsung menghindar/menjauh.","For health reasons, she decided to eschew all processed foods."
esoteric,Hard to understand; known only by a few,Isolasi: Hanya dipahami oleh kelompok yang terisolasi (sulit dipahami umum).,The book is filled with esoteric knowledge that only a few scholars understand.
euphemism,A nice way of saying something unpleasant,Eufemisme: Penghalusan bahasa.,"""Passed away"" is a common euphemism for ""died."""
exacerbate,To make sharper or more severe; to make worse,Extra bad: Membuat situasi menjadi ekstra buruk (memperparah).,Scratching the mosquito bite will only exacerbate the itching.
exculpate,To free from blame,Ex (keluar) + culprit (tersangka): Mengeluarkan dari status tersangka (membebaskan dari tuduhan).,DNA evidence was used to exculpate the wrongly convicted man.
exigency,Urgent situation,Exit agency: Biro pintu darurat untuk keadaan mendesak.,The exigency of the situation requires immediate action.
expatiate,To speak or write at some length,"Expand: Memperluas cerita, berbicara panjang lebar.",The professor expatiated on the causes of the French Revolution for hours.
expiation,The means by which atonement is made,Ex-pirate: Mantan bajak laut melakukan penebusan dosa.,He donated money to charity as an act of expiation for his past sins.
extenuating,Explaining/justifying to lessen seriousness,Ten: Turun dari hukuman berat ke level sepuluh (ten) karena alasan meringankan.,The judge gave him a lighter sentence due to extenuating circumstances.
extirpate,To root out; to eradicate,Ex + terminate: Menyingkirkan akar-akarnya (membasmi tuntas).,The farmers tried to extirpate the invasive weeds from their fields.
extrapolation,To infer an unknown from something known,Ekstrapolasi: Menarik kesimpulan dari tren yang ada.,The prediction was made based on the extrapolation of current market trends.
facetious,Not intended to be taken seriously,"Face: Wajah bercanda, tidak serius/main-main.",I was just being facetious when I said I would eat a hundred burgers.
facilitate,To make easier,Fasilitas: Memberikan fasilitas untuk memudahkan.,The new software will facilitate faster communication between departments.
fallacious,Illogical,False: Sesuatu yang salah/sesat.,The argument is based on a fallacious assumption.
fatuous,Idiotic,"Fat head: Berotak tumpul, sangat bodoh/konyol.",Buying a car you cannot afford is a fatuous financial decision.
felicitous,Appropriate or suitable,Felicities (kebahagiaan): Pilihan kata yang tepat sehingga membahagiakan/sangat pas.,The warm weather was a felicitous coincidence for their outdoor wedding.
ferret out,"To track down, discover",Musang (ferret): Musang ahli menggali untuk melacak/menemukan.,The investigative journalist managed to ferret out the truth.
fervor,Ardor or intensity of feeling,"Fever: Panas seperti demam, menunjukkan semangat menyala-nyala.",The activists protested with great fervor and passion.
fledgling,Inexperienced,"Fledge: Burung yang baru belajar terbang, masih pemula.",The fledgling company is still trying to secure its first major client.
foment,To instigate or encourage negative behavior,"Foam: Menambahkan busa pada api agar meledak, menghasut.",The rebels used social media to foment a revolution.
forestall,To prevent by taking action in advance,Fore (sebelum) + stall: Menghentikan sebelum terjadi (mencegah).,"To forestall a strike, the management agreed to raise wages."
fortification,The act of strengthening,Fort: Membangun benteng (fort) untuk perkuatan.,The ancient city's fortification prevented the enemy from invading.
frugal,Thrifty,Free gal: Gadis yang suka barang gratisan karena hemat/irit.,"By being frugal, they managed to save enough money for a house."
fulminate,To cause to explode; to detonate,Full mine: Tambang penuh bahan peledak yang siap meledak/mengecam keras.,The angry customer fulminated against the terrible service.
fumble,To feel or grope about clumsily,Tumble: Jatuh tersandung lalu meraba-raba dengan canggung.,He fumbled in his pockets trying to find his keys in the dark.
gaffe,A social blunder; faux pas,Laugh: Diketawakan (laugh) karena melakukan kesalahan bodoh/memalukan.,The politician committed a major gaffe by forgetting the name of the prime minister.
gainsay,To contradict or oppose,Against + say: Berbicara melawan (menyangkal/membantah).,No one can gainsay the fact that she is the best player on the team.
garrulous,Prone to trivial talking,Gary rules: Si Gary banyak bicara kalau soal aturan (cerewet).,The garrulous passenger next to me talked for the entire flight.
generosity,The state of giving freely,Generous: Sikap kedermawanan.,His generosity helped build the new children's hospital.
germane,Relevant,"German: Membahas mobil, sebut mobil Jerman karena sangat relevan.",Please keep your comments germane to the topic we are discussing.
goad,To urge on,"Goat: Mendorong kambing (goat) agar jalan, memprovokasi/mendesak.",His friends goaded him into jumping into the freezing lake.
grandiloquent,Speaking in a lofty style,Grand + eloquent: Berbicara dengan gaya terlalu agung (muluk-muluk).,His grandiloquent speech sounded impressive but lacked practical solutions.
grandstand,To conduct oneself showily,Grand stand: Berdiri di panggung utama untuk pamer/mencari perhatian.,The lawyer tends to grandstand for the cameras rather than focus on the trial.
gregarious,Sociable; outgoing,Greg: Si Greg sangat suka bergaul (suka berteman/sosial).,The gregarious host made sure every guest at the party felt welcome.
grouse,To complain or grumble,Gross: Menganggap sesuatu gross (menjijikkan) lalu menggerutu/mengeluh.,The employees constantly grouse about the terrible coffee in the breakroom.
guileless,Without deceit,"Guile (kelicikan) + less: Tanpa kelicikan, sangat polos/jujur.",The guileless child honestly answered every question the stranger asked.
gullible,Easily deceived,Gull: Burung camar yang gampang ditangkap (mudah ditipu).,The gullible tourist paid ten times the actual price for a cheap souvenir.
halcyon,Calm,"Helikopter turun: Setelah helikopter turun, suasana kembali tenang dan damai.",She often reminisces about the halcyon days of her youth.
haphazard,Lack of order or planning,Happen + hazard: Terjadi sembarangan membawa bahaya (serampangan).,"The books were stacked in a haphazard manner, ready to fall over at any moment."
harangue,A tirade,Anger: Berpidato panjang lebar dengan nada marah (pidato kecaman).,The angry boss delivered a 20-minute harangue about being on time.
harbinger,An omen; makes known the coming of something,Bringer: Pembawa berita/pertanda (pertanda awal).,The first dropping leaves are a harbinger of autumn.
hedge,A barrier; preventing complete loss,Pagar tanaman: Melindungi nilai investasi (lindung nilai).,He decided to hedge his bets by investing in multiple companies.
heresy,Opinion subversive of accepted beliefs,Here say: Mengatakan sesuatu di luar kitab suci (ajaran sesat/bidah).,Claiming that the Earth revolves around the Sun was once considered heresy.
homogeneous,Of the same kind,Homo (sama): Berjenis sama/seragam.,The classroom is not homogeneous; the students come from diverse backgrounds.
hyperbole,Exaggeration or overstatement,Hiperbola: Majas melebih-lebihkan.,"Saying you are ""so hungry you could eat a horse"" is a classic hyperbole."
iconoclast,A person who attacks accepted beliefs,Icon + clash: Menghancurkan (clash) ikon/tradisi (penentang tradisi).,"As an iconoclast, the comedian constantly mocked sacred traditions."
ignominious,"Shameful, disgraceful",Ignore us: Kita diabaikan karena perbuatan kita memalukan/hina.,The general suffered an ignominious defeat and was stripped of his rank.
imbroglio,"Entanglement, as in a situation","In broil: Berada dalam air mendidih, situasi yang rumit/kacau.","The prime minister survived the political imbroglio, but his reputation was ruined."
immense,Very large,Immense: Sangat besar.,The billionaire lives in an immense mansion with fifty rooms.
impartial,"Objective, open-minded",Im (tidak) + partial (memihak): Tidak memihak/adil.,A judge must remain impartial and only listen to the facts.
impecunious,Having no money; broke,Im (tidak) + coin: Tidak punya koin (miskin/bokek).,The impecunious artist struggled to pay his rent every month.
impede,To hinder; to block,Im (tidak) + ped (kaki): Menahan langkah kaki (menghambat).,The heavy snow will impede our progress on the road.
impenitent,Not feeling regret about one’s sins,Im (tidak) + penitent (menyesal): Tidak menyesal.,The impenitent thief showed no remorse during the trial.
imperious,"Domineering, overbearing; urgent",Emperor: Bertingkah layaknya kaisar yang suka memerintah/sombong.,The imperious boss ordered everyone to work over the weekend without pay.
imperturbable,Calm,"Im (tidak) + perturb (ganggu): Tidak bisa diganggu, sangat tenang.","Despite the chaotic emergency room, the head nurse remained imperturbable."
impervious,Impenetrable,Im (tidak) + pierce: Tidak bisa ditembus (kebal/kedap).,The new waterproof jacket is impervious to rain.
impetuous,Impulsive,Pet: Bertindak seperti hewan peliharaan yang impulsif/gegabah.,His impetuous decision to quit his job left him struggling to pay bills.
implicit,Implied,Implisit: Tersirat.,There was an implicit agreement that she would inherit the family business.
importune,To harass with persistent demands,Import: Meminta barang impor terus-menerus (mendesak secara mengganggu).,The charity workers importune people on the street for donations.
impugn,To challenge as false with arguments,Pug (anjing): Anjing pug menggonggong untuk menentang/membantah.,The lawyer tried to impugn the witness's credibility by bringing up his past crimes.
inadvertently,Unintentionally,"In + advert: Tidak melihat iklan tersebut, terlewat secara tidak sengaja.",I inadvertently deleted the important file while cleaning up my desktop.
inane,Stupid or idiotic,"Insane: Kurang huruf 's', idenya konyol dan bodoh/hampa.",We wasted an hour arguing over an inane topic.
incensed,Angered,"Incense (dupa): Terbakar seperti dupa, sangat marah.",The incensed customer demanded to speak to the manager immediately.
inchoate,"Recently begun, not fully developed","Inch: Baru berkembang satu inci, baru mulai/belum sempurna.",The startup’s business plan was still in an inchoate stage.
inconstant,Changeable; fickle; variable,Tidak konstan: Berubah-ubah/plin-plan.,His inconstant loyalty made it hard for anyone to trust him.
indigenous,Originating in a particular place,"Indian: Penduduk asli Amerika, artinya asli/pribumi.",The kangaroo is indigenous to Australia.
indigent,Lacking necessities,India gent: Pria miskin di pinggir jalan India (miskin/melarat).,The clinic provides free medical care for indigent patients.
indolence,Laziness,Indo + lens: Seharian cuma lihat lensa (HP/TV) karena malas.,"His failure in school was due to sheer indolence, not a lack of intelligence."
ineffable,Incapable of being expressed in words,In (tidak) + fable (cerita): Tidak bisa diceritakan (tak terlukiskan dengan kata).,The stunning sunset over the ocean was of ineffable beauty.
inert,Inactive; lacking power to move,"Gas lembam: Gas inert dalam kimia tidak bereaksi, tidak aktif.","The medicine makes him completely inert, barely able to lift his arm."
